Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,Shelter Repair Beneficiaries Selected,"First Distribution (6,000 PHP)","Second Distribution (4,000 PHP)",CGI,Shelter Repair Closeout / Completed,Shelter Tool Kits,Sanitation Kits,Core Shelter Beneficiaries Selected,Construction Started,Wooden Shelter (Core Shelter),Half Concrete (Core Shelter),Core Shelter PDM,Relocation Beneficiaries Selected,Relocation Completed,Relocation PDM,Training- Skilled Labour
060600000,060609000,#N/A,IFRC,Antique,Laua-An,Bagombayan,,7/19/14,89,,,,,,,3,,,,,,,,
060600000,060609000,060609004,IFRC,Antique,Laua-An,Cabariwan,,7/18/14,66,,,,,,,4,,,,,,,,
060600000,060609000,060609011,IFRC,Antique,Laua-An,Guisijan,,7/17/14,56,,,,,,,3,,,,,,,,
060600000,060609000,060609012,IFRC,Antique,Laua-An,Igtadiao,,7/19/14,20,,,,,,,6,,,,,,,,
060600000,060609000,060609022,IFRC,Antique,Laua-An,Liya-liya,,7/19/14,24,,,,,,,1,,,,,,,,
060600000,060609000,060609027,IFRC,Antique,Laua-An,Mauno,,7/23/14,60,,,,,,,9,,,,,,,,
060600000,060609000,060609030,IFRC,Antique,Laua-An,Oloc,,7/17/14,105,,,,,,,8,,,,,,,,
060600000,060615000,060615001,IFRC,Antique,Sebaste,Abiera,,7/4/14,92,,,,,,,38,,,,,,,,
060600000,060615000,060615002,IFRC,Antique,Sebaste,Aguila,,7/5/14,73,,,,,,,18,,,,,,,,
060600000,060615000,060615003,IFRC,Antique,Sebaste,Alegre,Upland,7/3/14,102,,,,,,,8,,,,,,,,
060600000,060615000,060615004,IFRC,Antique,Sebaste,Aras-Asan,,7/2/14,152,,,,,,,12,,,,,,,,
060600000,060615000,060615005,IFRC,Antique,Sebaste,Bacalan,,7/8/14,282,,,,,,,42,,,,,,,,
060600000,060615000,060615005,IFRC,Antique,Sebaste,Bacalan,,7/22/14,,,,282,,,,,,,,,,,,
060600000,060615000,060615006,IFRC,Antique,Sebaste,Callan,,7/6/14,131,,,,,,,31,,,,,,,,
060600000,060615000,060615010,IFRC,Antique,Sebaste,Idio,,7/6/14,151,,,,,,,32,,,,,,,,
060600000,060615000,060615010,IFRC,Antique,Sebaste,Idio,,7/21/14,,,,151,,,,,,,,,,,,
060600000,060615000,060615007,IFRC,Antique,Sebaste,Nauhon,,6/14/14,82,,,,,,,13,,,,,,,,
060600000,060615000,060615007,IFRC,Antique,Sebaste,Nauhon,,6/21/14,,,,81,,,,,,,,,,,,
060600000,060615000,060615007,IFRC,Antique,Sebaste,Nauhon,,6/26/14,,80,,,,,,,,,,,,,,
060600000,060615000,060615007,IFRC,Antique,Sebaste,Nauhon,,7/6/14,4,,,,,,,,,,,,,,,
060600000,060615000,060615007,IFRC,Antique,Sebaste,Nauhon,,7/25/14,,,75,,,,,,,,,,,,,
060600000,060615000,060615008,IFRC,Antique,Sebaste,P. Javier,Upland ,7/6/14,40,,,,,,,7,,,,,,,,
060600000,060615000,060615008,IFRC,Antique,Sebaste,P. Javier,,7/21/14,,,,40,,,,,,,,,,,,
060600000,060615000,060615009,IFRC,Antique,Sebaste,Poblacion,,6/30/14,267,,,,,,,34,,,,,,,,
060600000,060617000,060617001,German Red Cross,Antique,Tibiao,Alegre,,6/12/14,30,,,,,,,13,,,,,,,,
060600000,060617000,060617001,German Red Cross,Antique,Tibiao,Alegre,,7/7/14,,,,30,,,,,,,,,,,,
060600000,060617000,060617001,German Red Cross,Antique,Tibiao,Alegre,,7/8/14,,30,,,,,,,,,,,,,,
